FIRST_TERM,COUNT,EXAMPLE,Preamble?,EXAMPLE_LOCATION
str,3445,strFileA,,projects/xbmc/lib/win32/Effects11/EffectAPI.cpp
gl,1804,glSource,,projects/xbmc/xbmc/utils/GLUtils.cpp
key,801,keyStr,N,projects/xbmc/xbmc/utils/EGLImage.cpp
swig,722,swigType,,projects/xbmc/xbmc/interfaces/python/swig.h
Curl,684,Curl_cookie_loadfiles,,projects/curl/lib/cookie.c
buffer,495,bufferSize,N,projects/xbmc/lib/win32/Effects11/d3dxGlobal.cpp
metadata,468,metadataException,N,projects/PowerShell/src/System.Management.Automation/engine/GetCommandCommand.cs
token,434,tokenUserInfo,N,projects/PowerShell/src/Microsoft.PowerShell.Commands.Management/commands/management/Process.cs
string,415,stringIter,N,projects/xbmc/lib/win32/Effects11/EffectNonRuntime.cpp
BM,401,BMFontUtil,N,projects/libgdx/extensions/gdx-tools/src/com/badlogic/gdx/tools/hiero/BMFontUtil.java
ps,388,psType,,projects/xbmc/lib/win32/Effects11/EffectLoad.cpp
PS,388,PSSamplers,,projects/xbmc/lib/win32/Effects11/inc/d3dx11effect.h
cache,376,cacheJob,N,projects/xbmc/xbmc/TextureCache.cpp
body,372,bodyChr,N,projects/xbmc/xbmc/network/AirPlayServer.cpp
hash,362,hashGen,N,projects/xbmc/xbmc/guilib/GUIFontCache.cpp
header,338,headerLine,N,projects/xbmc/xbmc/utils/HttpHeader.cpp
pos,301,posT,,projects/xbmc/xbmc/XBDateTime.cpp
SWIG,301,SWIG_JavaThrowException,,projects/libgdx/extensions/gdx-bullet/jni/swig-src/inversedynamics/inversedynamics_wrap.cpp
bytes,271,bytesRead,N,projects/xbmc/lib/win32/Effects11/EffectLoad.cpp
byte,222,byteArray,N,projects/xbmc/xbmc/platform/win32/input/IrssMessage.cpp
raw,221,rawMac,N,projects/xbmc/xbmc/platform/linux/network/NetworkLinux.cpp
BN,215,BN_to_ASN1_INTEGER,,projects/openssl/crypto/asn1/a_int.c
BIO,214,BIO_snprintf,,projects/openssl/providers/fips/fipsprov.c
node,190,nodeEvents,N,projects/xbmc/xbmc/cores/AudioEngine/Sinks/pipewire/PipewireNode.cpp
pp,189,ppPointer,,projects/xbmc/lib/win32/Effects11/EffectLoad.cpp
op,170,opWeight,,projects/xbmc/xbmc/utils/FileOperationJob.cpp
pool,170,poolException,N,projects/PowerShell/src/System.Management.Automation/engine/hostifaces/PowerShell.cs
EC,168,ECDsaOid,,projects/aspnetcore/src/Servers/Kestrel/Core/src/Internal/Certificates/CertificateConfigLoader.cs
pad,162,padLen,N,projects/xbmc/lib/libUPnP/Neptune/ThirdParty/axTLS/crypto/md5.c
headers,153,headersNodeFound,N,projects/PowerShell/src/System.Management.Automation/FormatAndOutput/common/DisplayDatabase/typeDataXmlLoader_Table.cs
char,150,charCode,,projects/xbmc/xbmc/utils/LangCodeExpander.cpp
int,148,intValue,,projects/xbmc/lib/libUPnP/Platinum/Source/Devices/MediaServer/PltMediaItem.cpp
Swig,148,SwigValueInit,,projects/libgdx/extensions/gdx-bullet/jni/swig-src/inversedynamics/inversedynamics_wrap.cpp
var,146,varSize,N,projects/xbmc/lib/win32/Effects11/EffectLoad.cpp
Cache,140,CacheImage,N,projects/xbmc/xbmc/TextureCache.cpp
Key,136,KeyRepeatTimeout,N,projects/xbmc/xbmc/platform/linux/input/LibInputKeyboard.cpp
block,133,blockType,N,projects/xbmc/lib/win32/Effects11/EffectLoad.cpp
TS,128,TSErrorDisabledTask,,projects/PowerShell/src/Microsoft.PowerShell.ScheduledJob/ScheduledJobDefinition.cs
ENGINE,124,ENGINE_init,,projects/openssl/crypto/engine/eng_init.c
cl,117,clRect,,projects/xbmc/xbmc/rendering/dx/RenderSystemDX.cpp
HEADERS,99,HEADERS_Received_ContainsExpect100Continue_100ContinueSent,,projects/aspnetcore/src/Servers/Kestrel/test/InMemory.FunctionalTests/Http3/Http3ConnectionTests.cs
Hash,97,HashWithNormalizedCasing,N,projects/azure-functions-core-tools/src/Azure.Functions.Cli/Telemetry/Sha256Hasher.cs
CA,90,CAChannelLabel,,projects/xbmc/xbmc/cores/AudioEngine/Sinks/osx/AEDeviceEnumerationOSX.cpp
Node,90,NodeType,,projects/xbmc/xbmc/filesystem/MusicDatabaseDirectory/QueryParams.cpp
Byte,86,ByteCount,N,projects/xbmc/xbmc/pictures/ExifParse.cpp
Object,84,ObjectType,,projects/xbmc/lib/win32/Effects11/EffectLoad.cpp
BT,84,BT_USE_NAME,,projects/xbmc/tools/EventClients/lib/java/src/org/xbmc/eventclient/PacketBUTTON.java
obj,81,objIter,,projects/xbmc/xbmc/platform/linux/storage/UDisks2Provider.cpp
ERR,77,ERR_new,,projects/openssl/providers/legacyprov.c
db,74,dbUrl,N,projects/xbmc/xbmc/DbUrl.cpp
null,73,nullListener,N,projects/xbmc/xbmc/cores/VideoPlayer/DVDCodecs/Video/DVDVideoCodecAndroidMediaCodec.cpp
KEY,67,KEY_EVENT_RECORDToKeyInfo,,projects/PowerShell/src/Microsoft.PowerShell.ConsoleHost/host/msh/ConsoleHostRawUserInterface.cs
Long,66,LongTag,,projects/PowerShell/src/System.Management.Automation/engine/SerializationStrings.cs
pi,63,piAttribList,,projects/libgdx/extensions/gdx-bullet/jni/vs/Glut/GL/wglew.h
err,61,errMsg,,projects/xbmc/xbmc/utils/RegExp.cpp
DH,61,DH_meth_new,,projects/openssl/crypto/dh/dh_meth.c
